Statement,Sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
$SPY wouldn't be surprised to see a green close,positive
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive
$FB gone green on day,positive
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive
Shire CEO steps up drive to get Baxalta board talking,positive
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative
InterContinental Hotels first-quarter global room revenue lags estimates,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive
"L&G still paying price for dividend cut during crisis, chief says",negative
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive
Tesco share price jumps as Q3 sales top estimates,positive
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive
AstraZeneca profit down as sales of stalwarts fade,negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+̼o , as saying .",positive
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive
$YANG Double bottom 5.2,positive
Tesco share price down as grocer faces SFO investigation outcome,negative
$aapl news is becoming very bullish again http://stks.co/tMU,positive
$TSLA recall,negative
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative
Aberdeen Asset Management Gains Foothold In China,positive
$GOOGL is a short below 740 into the upper BB and is overbought,negative
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive
$VMW  Got a nice push today following small sweepers of May C this morning,positive
That topped consensus forecasts for earnings of 0.21 euros a share .,positive
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive
"The pulp production in Finnish Kemij+̱rvi will also be liquidated and about 1,100 employees loose their jobs .",negative
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive
